grid_point_id,date,grid_latitude,grid_longitude,sst_celsius,sst_anomaly_celsius,quality_level,satellite_product,resolution_deg
39,2026-08-25,6.0,87.0,29.3,0.8,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
40,2026-08-25,6.0,87.5,29.84,1.34,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
41,2026-08-25,6.0,88.0,29.81,1.31,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
42,2026-08-25,6.0,88.5,29.82,1.32,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
43,2026-08-25,6.0,89.0,29.27,0.77,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
44,2026-08-25,6.0,89.5,29.61,1.11,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
45,2026-08-25,6.0,90.0,29.61,1.11,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
46,2026-08-25,6.0,90.5,29.4,0.9,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
47,2026-08-25,6.0,91.0,29.76,1.26,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
48,2026-08-25,6.0,91.5,29.7,1.2,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
49,2026-08-25,6.0,92.0,29.65,1.15,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
50,2026-08-25,6.0,92.5,29.17,0.67,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
51,2026-08-25,6.0,93.0,29.84,1.34,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
52,2026-08-25,6.0,93.5,29.65,1.15,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
53,2026-08-25,6.0,94.0,29.83,1.33,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
54,2026-08-25,6.5,68.0,29.15,0.7,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
55,2026-08-25,6.5,68.5,29.58,1.13,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
56,2026-08-25,6.5,69.0,29.61,1.16,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
57,2026-08-25,6.5,69.5,29.14,0.69,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
58,2026-08-25,6.5,70.0,29.14,0.69,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
59,2026-08-25,6.5,70.5,29.62,1.17,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
60,2026-08-25,6.5,71.0,29.65,1.2,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
61,2026-08-25,6.5,71.5,29.73,1.28,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
62,2026-08-25,6.5,72.0,29.63,1.18,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
63,2026-08-25,6.5,72.5,29.26,0.81,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
64,2026-08-25,6.5,73.0,29.77,1.32,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
65,2026-08-25,6.5,73.5,29.28,0.83,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
66,2026-08-25,6.5,74.0,29.6,1.15,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
67,2026-08-25,6.5,74.5,29.46,1.01,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
68,2026-08-25,6.5,75.0,29.18,0.73,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
69,2026-08-25,6.5,75.5,29.74,1.29,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
70,2026-08-25,6.5,76.0,29.5,1.05,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
71,2026-08-25,6.5,76.5,29.15,0.7,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
72,2026-08-25,6.5,77.0,29.36,0.91,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
73,2026-08-25,6.5,77.5,29.63,1.18,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
74,2026-08-25,6.5,78.0,29.52,1.07,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
75,2026-08-25,6.5,78.5,29.25,0.8,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
76,2026-08-25,6.5,79.0,29.49,1.04,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
77,2026-08-25,6.5,79.5,29.31,0.86,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
78,2026-08-25,6.5,80.0,29.46,1.01,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
79,2026-08-25,6.5,80.5,29.31,0.86,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
80,2026-08-25,6.5,81.0,29.44,0.99,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
81,2026-08-25,6.5,81.5,29.68,1.23,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
82,2026-08-25,6.5,82.0,29.24,0.79,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
83,2026-08-25,6.5,82.5,29.09,0.64,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
84,2026-08-25,6.5,83.0,29.2,0.75,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
85,2026-08-25,6.5,83.5,29.68,1.23,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
86,2026-08-25,6.5,84.0,29.38,0.93,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
87,2026-08-25,6.5,84.5,29.61,1.16,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
88,2026-08-25,6.5,85.0,29.11,0.66,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
89,2026-08-25,6.5,85.5,29.19,0.74,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
90,2026-08-25,6.5,86.0,29.49,1.04,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
91,2026-08-25,6.5,86.5,29.59,1.14,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
92,2026-08-25,6.5,87.0,29.64,1.19,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
93,2026-08-25,6.5,87.5,29.54,1.09,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
94,2026-08-25,6.5,88.0,29.62,1.17,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
95,2026-08-25,6.5,88.5,29.21,0.76,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
96,2026-08-25,6.5,89.0,29.55,1.1,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
97,2026-08-25,6.5,89.5,29.39,0.94,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
98,2026-08-25,6.5,90.0,29.73,1.28,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
99,2026-08-25,6.5,90.5,29.52,1.07,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
100,2026-08-25,6.5,91.0,29.47,1.02,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
101,2026-08-25,6.5,91.5,29.49,1.04,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
102,2026-08-25,6.5,92.0,29.67,1.22,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
103,2026-08-25,6.5,92.5,29.1,0.65,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
104,2026-08-25,6.5,93.0,29.69,1.24,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
105,2026-08-25,6.5,93.5,29.11,0.66,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
106,2026-08-25,6.5,94.0,29.5,1.05,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
107,2026-08-25,7.0,68.0,29.38,0.98,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
108,2026-08-25,7.0,68.5,29.29,0.89,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
109,2026-08-25,7.0,69.0,29.12,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
110,2026-08-25,7.0,69.5,29.12,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
111,2026-08-25,7.0,70.0,29.55,1.15,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
112,2026-08-25,7.0,70.5,29.11,0.71,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
113,2026-08-25,7.0,71.0,29.51,1.11,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
114,2026-08-25,7.0,71.5,29.72,1.32,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
115,2026-08-25,7.0,72.0,29.51,1.11,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
116,2026-08-25,7.0,72.5,29.08,0.68,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
117,2026-08-25,7.0,73.0,29.41,1.01,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
118,2026-08-25,7.0,73.5,29.61,1.21,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
119,2026-08-25,7.0,74.0,29.7,1.3,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
120,2026-08-25,7.0,74.5,29.54,1.14,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
121,2026-08-25,7.0,75.0,29.25,0.85,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
122,2026-08-25,7.0,75.5,29.21,0.81,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
123,2026-08-25,7.0,76.0,29.58,1.18,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
124,2026-08-25,7.0,76.5,29.56,1.16,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
125,2026-08-25,7.0,77.0,29.37,0.97,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
126,2026-08-25,7.0,77.5,29.09,0.69,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
127,2026-08-25,7.0,78.0,29.5,1.1,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
128,2026-08-25,7.0,78.5,29.44,1.04,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
129,2026-08-25,7.0,79.0,29.04,0.64,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
130,2026-08-25,7.0,79.5,29.48,1.08,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
131,2026-08-25,7.0,80.0,29.12,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
132,2026-08-25,7.0,80.5,29.61,1.21,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
133,2026-08-25,7.0,81.0,29.5,1.1,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
134,2026-08-25,7.0,81.5,29.07,0.67,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
135,2026-08-25,7.0,82.0,29.4,1.0,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
136,2026-08-25,7.0,82.5,29.59,1.19,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
137,2026-08-25,7.0,83.0,29.61,1.21,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
138,2026-08-25,7.0,83.5,29.09,0.69,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
139,2026-08-25,7.0,84.0,29.09,0.69,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
140,2026-08-25,7.0,84.5,29.57,1.17,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
141,2026-08-25,7.0,85.0,29.19,0.79,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
142,2026-08-25,7.0,85.5,29.45,1.05,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
143,2026-08-25,7.0,86.0,29.46,1.06,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
144,2026-08-25,7.0,86.5,29.47,1.07,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
145,2026-08-25,7.0,87.0,29.27,0.87,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
146,2026-08-25,7.0,87.5,29.06,0.66,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
147,2026-08-25,7.0,88.0,29.41,1.01,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
148,2026-08-25,7.0,88.5,29.39,0.99,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
149,2026-08-25,7.0,89.0,29.33,0.93,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
150,2026-08-25,7.0,89.5,29.23,0.83,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
151,2026-08-25,7.0,90.0,29.62,1.22,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
152,2026-08-25,7.0,90.5,29.29,0.89,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
153,2026-08-25,7.0,91.0,29.12,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
154,2026-08-25,7.0,91.5,29.56,1.16,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
155,2026-08-25,7.0,92.0,29.48,1.08,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
156,2026-08-25,7.0,92.5,29.25,0.85,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
157,2026-08-25,7.0,93.0,29.14,0.74,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
158,2026-08-25,7.0,93.5,29.34,0.94,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
159,2026-08-25,7.0,94.0,29.08,0.68,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
160,2026-08-25,7.5,68.0,29.13,0.78,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
161,2026-08-25,7.5,68.5,29.64,1.29,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
162,2026-08-25,7.5,69.0,29.08,0.73,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
163,2026-08-25,7.5,69.5,29.16,0.81,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
164,2026-08-25,7.5,70.0,29.07,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
165,2026-08-25,7.5,70.5,29.61,1.26,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
166,2026-08-25,7.5,71.0,29.62,1.27,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
167,2026-08-25,7.5,71.5,29.01,0.66,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
168,2026-08-25,7.5,72.0,29.6,1.25,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
169,2026-08-25,7.5,72.5,29.07,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
170,2026-08-25,7.5,73.0,29.25,0.9,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
171,2026-08-25,7.5,73.5,29.38,1.03,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
172,2026-08-25,7.5,74.0,29.29,0.94,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
173,2026-08-25,7.5,74.5,29.07,0.72,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
174,2026-08-25,7.5,75.0,29.52,1.17,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
175,2026-08-25,7.5,75.5,29.45,1.1,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
176,2026-08-25,7.5,76.0,29.63,1.28,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
177,2026-08-25,7.5,76.5,29.22,0.87,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
178,2026-08-25,7.5,77.0,29.27,0.92,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
179,2026-08-25,7.5,77.5,29.21,0.86,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
180,2026-08-25,7.5,78.0,29.01,0.66,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
181,2026-08-25,7.5,78.5,29.01,0.66,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
182,2026-08-25,7.5,79.0,29.5,1.15,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
183,2026-08-25,7.5,79.5,29.17,0.82,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
184,2026-08-25,7.5,80.0,29.31,0.96,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
185,2026-08-25,7.5,80.5,29.66,1.31,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
186,2026-08-25,7.5,81.0,28.98,0.63,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
187,2026-08-25,7.5,81.5,29.33,0.98,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
188,2026-08-25,7.5,82.0,29.33,0.98,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
189,2026-08-25,7.5,82.5,29.67,1.32,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
190,2026-08-25,7.5,83.0,29.55,1.2,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
191,2026-08-25,7.5,83.5,29.02,0.67,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
192,2026-08-25,7.5,84.0,29.08,0.73,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
193,2026-08-25,7.5,84.5,28.99,0.64,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
194,2026-08-25,7.5,85.0,29.11,0.76,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
195,2026-08-25,7.5,85.5,29.12,0.77,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
196,2026-08-25,7.5,86.0,29.03,0.68,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
197,2026-08-25,7.5,86.5,29.34,0.99,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
198,2026-08-25,7.5,87.0,29.65,1.3,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
199,2026-08-25,7.5,87.5,29.53,1.18,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
200,2026-08-25,7.5,88.0,29.11,0.76,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
201,2026-08-25,7.5,88.5,29.52,1.17,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
