track_id,cyclone_id,cyclone_name,season,basin,subbasin,observation_dt,latitude,longitude,max_sustained_wind_knots,max_sustained_wind_kmph,central_barometric_pressure_hpa,wmo_cyclone_stage,distance_to_land_km,storm_translation_speed_kmph,storm_heading_deg,official_landfall_location,source
11,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-17 12:00:00,15.3164,66.8621,56.7,105.0,972.0,Severe Cyclonic Storm (SCS),348.0,19.2,313.4,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
12,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-17 18:00:00,15.5946,66.9431,56.4,104.5,970.4,Severe Cyclonic Storm (SCS),339.0,14.3,305.0,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
13,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-18 00:00:00,15.8718,67.0227,59.3,109.8,968.9,Severe Cyclonic Storm (SCS),322.7,17.9,322.8,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
14,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-18 06:00:00,16.148,67.1008,62.8,116.3,967.3,Severe Cyclonic Storm (SCS),290.7,13.0,323.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
15,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-18 12:00:00,16.4232,67.1773,66.5,123.2,965.7,Very Severe Cyclonic Storm (VSCS),304.8,14.6,328.1,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
16,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-18 18:00:00,16.6973,67.2522,69.6,128.9,964.1,Very Severe Cyclonic Storm (VSCS),287.9,17.5,309.2,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
17,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-19 00:00:00,16.9702,67.3253,68.7,127.2,962.6,Very Severe Cyclonic Storm (VSCS),267.1,14.9,304.2,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
18,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-19 06:00:00,17.242,67.3967,73.2,135.6,961.0,Very Severe Cyclonic Storm (VSCS),272.7,15.3,310.9,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
19,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-19 12:00:00,17.5125,67.4663,76.2,141.1,959.4,Very Severe Cyclonic Storm (VSCS),232.6,15.5,306.9,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
20,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-19 18:00:00,17.7819,67.5341,78.5,145.4,957.9,Very Severe Cyclonic Storm (VSCS),246.4,16.5,300.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
21,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-20 00:00:00,18.05,67.6,78.3,145.0,956.3,Very Severe Cyclonic Storm (VSCS),217.8,13.7,304.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
22,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-20 06:00:00,18.3169,67.6641,82.9,153.5,954.7,Very Severe Cyclonic Storm (VSCS),204.8,16.0,302.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
23,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-20 12:00:00,18.5825,67.7263,84.2,155.9,953.1,Very Severe Cyclonic Storm (VSCS),198.9,18.6,305.7,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
24,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-20 18:00:00,18.847,67.7867,89.4,165.6,951.6,Very Severe Cyclonic Storm (VSCS),194.9,15.9,309.4,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
25,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-21 00:00:00,19.1102,67.8453,89.9,166.5,950.0,Very Severe Cyclonic Storm (VSCS),168.0,15.7,320.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
26,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-21 06:00:00,19.3723,67.9022,85.9,159.1,951.6,Very Severe Cyclonic Storm (VSCS),162.9,18.7,303.6,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
27,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-21 12:00:00,19.6332,67.9573,84.9,157.2,953.3,Very Severe Cyclonic Storm (VSCS),161.3,16.9,312.2,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
28,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-21 18:00:00,19.893,68.0108,81.2,150.4,954.9,Very Severe Cyclonic Storm (VSCS),143.5,19.2,322.4,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
29,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-22 00:00:00,20.1518,68.0627,78.3,145.0,956.5,Very Severe Cyclonic Storm (VSCS),142.5,12.0,328.4,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
30,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-22 06:00:00,20.4096,68.1131,77.1,142.8,958.2,Very Severe Cyclonic Storm (VSCS),137.9,17.4,313.4,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
31,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-22 12:00:00,20.6664,68.1621,74.1,137.2,959.8,Very Severe Cyclonic Storm (VSCS),123.5,17.7,324.1,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
32,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-22 18:00:00,20.9224,68.2098,72.6,134.5,961.4,Very Severe Cyclonic Storm (VSCS),99.5,14.4,315.8,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
33,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-23 00:00:00,21.1776,68.2563,68.8,127.4,963.0,Very Severe Cyclonic Storm (VSCS),92.1,15.4,323.6,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
34,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-23 06:00:00,21.432,68.3017,66.7,123.5,964.7,Very Severe Cyclonic Storm (VSCS),70.0,16.1,328.5,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
35,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-23 12:00:00,21.6858,68.3462,64.8,120.0,966.3,Very Severe Cyclonic Storm (VSCS),76.2,14.7,307.2,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
36,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-23 18:00:00,21.939,68.3898,60.9,112.8,967.9,Severe Cyclonic Storm (SCS),68.2,15.0,303.5,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
37,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-24 00:00:00,22.1918,68.4327,60.1,111.3,969.6,Severe Cyclonic Storm (SCS),36.4,15.8,306.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
38,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-24 06:00:00,22.4442,68.475,55.2,102.2,971.2,Severe Cyclonic Storm (SCS),35.3,15.7,304.1,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
39,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-24 12:00:00,22.6963,68.5169,56.4,104.5,972.8,Severe Cyclonic Storm (SCS),23.8,18.4,318.7,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
40,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-24 18:00:00,22.9482,68.5585,51.0,94.5,974.5,Severe Cyclonic Storm (SCS),0.3,14.3,326.5,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
41,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-25 00:00:00,23.2,68.6,49.1,90.9,976.1,Severe Cyclonic Storm (SCS),0.0,15.7,307.7,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
42,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-28 00:00:00,9.5,87.0,19.2,35.6,1001.0,Depression (D),457.9,19.4,311.6,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
43,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-28 06:00:00,9.7928,86.6858,21.7,40.2,1000.1,Depression (D),437.7,19.2,326.6,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
44,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-28 12:00:00,10.0851,86.3724,27.3,50.6,999.2,Depression (D),410.5,13.6,328.2,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
45,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-28 18:00:00,10.3765,86.0602,30.9,57.2,998.3,Deep Depression (DD),405.9,14.5,313.1,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
46,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-29 00:00:00,10.6667,85.75,31.0,57.4,997.4,Deep Depression (DD),386.8,17.4,300.9,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
47,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-29 06:00:00,10.9551,85.4424,36.3,67.2,996.5,Cyclonic Storm (CS),361.1,19.3,307.5,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
48,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-29 12:00:00,11.2414,85.1379,37.6,69.6,995.6,Cyclonic Storm (CS),343.8,16.9,306.2,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
49,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-29 18:00:00,11.5253,84.837,39.8,73.7,994.7,Cyclonic Storm (CS),330.5,16.7,316.5,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
50,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-30 00:00:00,11.8065,84.5402,42.5,78.7,993.8,Cyclonic Storm (CS),294.3,18.7,317.5,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
51,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-30 06:00:00,12.0848,84.2478,46.6,86.3,992.9,Cyclonic Storm (CS),272.9,19.5,323.6,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
52,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-30 12:00:00,12.3599,83.9602,46.4,85.9,992.0,Cyclonic Storm (CS),264.5,14.2,314.1,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
53,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-11-30 18:00:00,12.6316,83.6776,52.3,96.9,991.1,Severe Cyclonic Storm (SCS),229.4,17.7,321.7,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
54,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-01 00:00:00,12.9,83.4,51.6,95.6,990.2,Severe Cyclonic Storm (SCS),217.2,18.3,317.3,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
55,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-01 06:00:00,13.165,83.1276,54.7,101.3,989.3,Severe Cyclonic Storm (SCS),205.9,19.5,301.0,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
56,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-01 12:00:00,13.4265,82.8602,59.6,110.4,988.4,Severe Cyclonic Storm (SCS),178.1,11.8,325.3,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
57,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-01 18:00:00,13.6848,82.5978,59.7,110.6,988.6,Severe Cyclonic Storm (SCS),154.0,16.7,306.2,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
58,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-02 00:00:00,13.9399,82.3402,54.6,101.1,989.5,Severe Cyclonic Storm (SCS),160.3,19.3,319.5,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
59,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-02 06:00:00,14.192,82.087,53.3,98.7,990.4,Severe Cyclonic Storm (SCS),131.9,19.0,308.5,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
60,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-02 12:00:00,14.4414,81.8379,48.0,88.9,991.4,Severe Cyclonic Storm (SCS),114.5,15.3,320.2,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
61,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-02 18:00:00,14.6884,81.5924,47.2,87.4,992.3,Cyclonic Storm (CS),105.8,13.8,329.9,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
62,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-03 00:00:00,14.9333,81.35,45.9,85.0,993.2,Cyclonic Storm (CS),82.7,13.1,324.8,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
63,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-03 06:00:00,15.1765,81.1102,41.8,77.4,994.2,Cyclonic Storm (CS),65.2,12.3,301.3,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
64,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-03 12:00:00,15.4184,80.8724,36.6,67.8,995.1,Cyclonic Storm (CS),37.6,15.5,317.4,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
65,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-03 18:00:00,15.6594,80.6358,36.6,67.8,996.1,Cyclonic Storm (CS),24.4,15.9,315.0,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
66,2023334N10085,MICHAUNG,2023,NI (North Indian Ocean),BOB,2023-12-04 00:00:00,15.9,80.4,32.5,60.2,997.0,Deep Depression (DD),0.0,16.0,304.5,Bapatla (Andhra Pradesh),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
67,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-15 00:00:00,10.0,72.5,37.8,70.0,987.7,Cyclonic Storm (CS),442.7,18.3,305.9,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
68,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-15 06:00:00,10.4081,72.4836,39.5,73.2,985.5,Cyclonic Storm (CS),420.4,11.7,313.6,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
69,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-15 12:00:00,10.8159,72.4668,46.4,85.9,983.2,Cyclonic Storm (CS),405.9,12.6,310.0,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
70,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-15 18:00:00,11.2232,72.4491,47.7,88.3,981.0,Cyclonic Storm (CS),415.4,18.7,304.8,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
71,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-16 00:00:00,11.6296,72.4302,52.7,97.6,978.7,Severe Cyclonic Storm (SCS),378.8,15.9,326.4,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
72,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-16 06:00:00,12.035,72.4096,58.6,108.5,976.5,Severe Cyclonic Storm (SCS),379.4,12.4,305.2,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
73,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-16 12:00:00,12.439,72.387,61.3,113.5,974.2,Severe Cyclonic Storm (SCS),356.7,17.7,309.5,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
74,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-16 18:00:00,12.8414,72.3621,64.8,120.0,972.0,Very Severe Cyclonic Storm (VSCS),352.0,12.6,310.1,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
75,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-17 00:00:00,13.2421,72.3345,69.9,129.5,969.7,Very Severe Cyclonic Storm (VSCS),331.7,16.8,315.5,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
76,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-17 06:00:00,13.6408,72.304,71.9,133.2,967.5,Very Severe Cyclonic Storm (VSCS),297.4,19.0,312.6,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
77,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-17 12:00:00,14.0373,72.2703,75.5,139.8,965.3,Very Severe Cyclonic Storm (VSCS),300.7,17.0,325.7,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
78,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-17 18:00:00,14.4316,72.2332,82.8,153.3,963.0,Very Severe Cyclonic Storm (VSCS),268.8,17.0,319.5,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
79,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-18 00:00:00,14.8236,72.1925,87.0,161.1,960.8,Very Severe Cyclonic Storm (VSCS),260.6,11.2,311.1,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
80,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-18 06:00:00,15.213,72.1481,89.3,165.4,958.5,Very Severe Cyclonic Storm (VSCS),239.4,12.0,326.7,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
81,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-18 12:00:00,15.6,72.1,95.0,175.9,956.3,Extremely Severe Cyclonic Storm (ESCS),211.6,11.5,301.3,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
82,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-18 18:00:00,15.9845,72.0481,95.9,177.6,954.0,Extremely Severe Cyclonic Storm (ESCS),220.9,17.3,315.6,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
83,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-19 00:00:00,16.3664,71.9925,103.5,191.7,951.8,Extremely Severe Cyclonic Storm (ESCS),189.4,16.8,305.8,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
84,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-19 06:00:00,16.7459,71.9332,105.8,195.9,950.5,Extremely Severe Cyclonic Storm (ESCS),188.8,11.5,304.9,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
85,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-19 12:00:00,17.1231,71.8703,100.9,186.9,952.8,Extremely Severe Cyclonic Storm (ESCS),150.3,17.8,321.7,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
86,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-19 18:00:00,17.4979,71.804,97.4,180.4,955.1,Extremely Severe Cyclonic Storm (ESCS),136.9,14.9,313.6,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
87,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-20 00:00:00,17.8707,71.7345,91.0,168.5,957.5,Extremely Severe Cyclonic Storm (ESCS),122.6,13.5,322.3,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
88,2021134N10072,TAUKTAE,2021,NI (North Indian Ocean),ARB,2021-05-20 06:00:00,18.2414,71.6621,86.0,159.3,959.8,Very Severe Cyclonic Storm (VSCS),111.3,18.4,320.0,Una (Gujarat Coast),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
