current_id,date,grid_latitude,grid_longitude,current_u_velocity_mps,current_v_velocity_mps,surface_current_speed_mps,surface_current_speed_knots,current_direction_deg,current_regime,depth_m,source
19,2026-08-25,6.0,86.0,0.36,0.124,0.381,0.74,71.0,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
20,2026-08-25,6.0,87.0,0.104,0.081,0.132,0.26,52.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
21,2026-08-25,6.0,88.0,0.174,0.36,0.4,0.78,25.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
22,2026-08-25,6.0,89.0,0.231,0.122,0.261,0.51,62.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
23,2026-08-25,6.0,90.0,0.134,0.103,0.169,0.33,52.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
24,2026-08-25,6.0,91.0,0.069,0.041,0.08,0.16,59.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
25,2026-08-25,6.0,92.0,0.272,-0.037,0.275,0.53,97.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
26,2026-08-25,6.0,93.0,0.352,0.098,0.365,0.71,74.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
27,2026-08-25,6.0,94.0,0.309,0.139,0.339,0.66,65.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
28,2026-08-25,7.0,68.0,-0.186,-0.221,0.289,0.56,220.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
29,2026-08-25,7.0,69.0,-0.318,-0.396,0.508,0.99,218.8,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
30,2026-08-25,7.0,70.0,-0.085,-0.288,0.3,0.58,196.4,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
31,2026-08-25,7.0,71.0,-0.178,-0.302,0.351,0.68,210.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
32,2026-08-25,7.0,72.0,-0.077,-0.43,0.437,0.85,190.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
33,2026-08-25,7.0,73.0,-0.198,-0.179,0.267,0.52,227.9,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
34,2026-08-25,7.0,74.0,-0.108,-0.281,0.301,0.59,201.0,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
35,2026-08-25,7.0,75.0,-0.197,-0.323,0.378,0.73,211.4,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
36,2026-08-25,7.0,76.0,-0.254,-0.211,0.33,0.64,230.3,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
37,2026-08-25,7.0,77.0,0.229,0.14,0.268,0.52,58.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
38,2026-08-25,7.0,78.0,0.143,0.074,0.161,0.31,62.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
39,2026-08-25,7.0,79.0,0.207,-0.079,0.222,0.43,110.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
40,2026-08-25,7.0,80.0,0.267,0.175,0.319,0.62,56.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
41,2026-08-25,7.0,81.0,0.304,0.054,0.309,0.6,79.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
42,2026-08-25,7.0,82.0,0.319,0.101,0.335,0.65,72.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
43,2026-08-25,7.0,83.0,0.202,0.115,0.232,0.45,60.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
44,2026-08-25,7.0,84.0,0.211,0.053,0.218,0.42,75.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
45,2026-08-25,7.0,85.0,0.234,-0.097,0.253,0.49,112.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
46,2026-08-25,7.0,86.0,0.245,0.269,0.364,0.71,42.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
47,2026-08-25,7.0,87.0,0.162,0.181,0.243,0.47,41.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
48,2026-08-25,7.0,88.0,0.082,0.19,0.207,0.4,23.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
49,2026-08-25,7.0,89.0,0.248,0.184,0.309,0.6,53.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
50,2026-08-25,7.0,90.0,0.167,0.293,0.337,0.66,29.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
51,2026-08-25,7.0,91.0,0.199,0.048,0.205,0.4,76.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
52,2026-08-25,7.0,92.0,0.176,0.254,0.309,0.6,34.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
53,2026-08-25,7.0,93.0,0.205,0.283,0.349,0.68,35.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
54,2026-08-25,7.0,94.0,0.213,0.277,0.349,0.68,37.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
55,2026-08-25,8.0,68.0,-0.157,-0.303,0.341,0.66,207.4,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
56,2026-08-25,8.0,69.0,-0.111,-0.233,0.258,0.5,205.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
57,2026-08-25,8.0,70.0,-0.098,-0.18,0.205,0.4,208.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
58,2026-08-25,8.0,71.0,-0.154,-0.313,0.349,0.68,206.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
59,2026-08-25,8.0,72.0,-0.11,-0.074,0.133,0.26,236.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
60,2026-08-25,8.0,73.0,-0.167,-0.072,0.182,0.35,246.7,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
61,2026-08-25,8.0,74.0,-0.327,-0.343,0.474,0.92,223.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
62,2026-08-25,8.0,75.0,-0.208,-0.234,0.313,0.61,221.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
63,2026-08-25,8.0,76.0,-0.074,-0.209,0.222,0.43,199.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
64,2026-08-25,8.0,77.0,0.172,0.234,0.29,0.56,36.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
65,2026-08-25,8.0,78.0,0.285,-0.012,0.285,0.55,92.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
66,2026-08-25,8.0,79.0,0.234,0.111,0.259,0.5,64.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
67,2026-08-25,8.0,80.0,0.191,0.061,0.201,0.39,72.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
68,2026-08-25,8.0,81.0,0.332,0.031,0.333,0.65,84.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
69,2026-08-25,8.0,82.0,0.104,0.143,0.177,0.34,36.0,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
70,2026-08-25,8.0,83.0,0.096,0.109,0.145,0.28,41.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
71,2026-08-25,8.0,84.0,0.095,0.009,0.095,0.18,84.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
72,2026-08-25,8.0,85.0,0.181,0.048,0.187,0.36,75.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
73,2026-08-25,8.0,86.0,0.275,0.233,0.36,0.7,49.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
74,2026-08-25,8.0,87.0,0.182,0.072,0.196,0.38,68.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
75,2026-08-25,8.0,88.0,0.103,0.008,0.103,0.2,85.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
76,2026-08-25,8.0,89.0,0.18,0.068,0.192,0.37,69.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
77,2026-08-25,8.0,90.0,0.115,0.085,0.143,0.28,53.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
78,2026-08-25,8.0,91.0,0.242,0.035,0.245,0.48,81.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
79,2026-08-25,8.0,92.0,0.237,0.111,0.262,0.51,64.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
80,2026-08-25,8.0,93.0,0.041,0.503,0.505,0.98,4.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
81,2026-08-25,8.0,94.0,0.224,0.368,0.431,0.84,31.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
82,2026-08-25,9.0,68.0,-0.155,-0.394,0.423,0.82,201.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
83,2026-08-25,9.0,69.0,-0.152,-0.297,0.334,0.65,207.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
84,2026-08-25,9.0,70.0,-0.197,-0.28,0.342,0.66,215.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
85,2026-08-25,9.0,71.0,-0.197,-0.16,0.254,0.49,230.9,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
86,2026-08-25,9.0,72.0,-0.322,-0.251,0.408,0.79,232.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
87,2026-08-25,9.0,73.0,-0.149,-0.213,0.26,0.51,215.0,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
88,2026-08-25,9.0,85.0,0.214,0.017,0.215,0.42,85.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
89,2026-08-25,9.0,86.0,0.16,0.198,0.255,0.5,38.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
90,2026-08-25,9.0,87.0,0.243,0.097,0.262,0.51,68.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
91,2026-08-25,9.0,88.0,0.187,0.038,0.191,0.37,78.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
92,2026-08-25,9.0,89.0,0.14,0.106,0.176,0.34,52.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
93,2026-08-25,9.0,90.0,0.255,0.05,0.26,0.51,78.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
94,2026-08-25,9.0,91.0,0.253,0.413,0.484,0.94,31.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
95,2026-08-25,9.0,92.0,0.188,0.229,0.296,0.58,39.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
96,2026-08-25,9.0,93.0,0.226,0.025,0.227,0.44,83.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
97,2026-08-25,9.0,94.0,0.303,0.163,0.344,0.67,61.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
98,2026-08-25,10.0,68.0,-0.222,-0.194,0.295,0.57,228.9,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
99,2026-08-25,10.0,69.0,-0.096,-0.136,0.166,0.32,215.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
100,2026-08-25,10.0,70.0,-0.119,-0.153,0.194,0.38,217.9,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
101,2026-08-25,10.0,71.0,0.01,-0.128,0.128,0.25,175.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
102,2026-08-25,10.0,72.0,-0.134,-0.298,0.327,0.64,204.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
103,2026-08-25,10.0,73.0,-0.175,-0.336,0.379,0.74,207.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
104,2026-08-25,10.0,85.0,0.19,0.219,0.29,0.56,40.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
105,2026-08-25,10.0,86.0,0.197,-0.123,0.232,0.45,122.0,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
106,2026-08-25,10.0,87.0,0.218,0.217,0.308,0.6,45.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
107,2026-08-25,10.0,88.0,0.338,0.225,0.406,0.79,56.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
108,2026-08-25,10.0,89.0,0.137,0.11,0.176,0.34,51.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
109,2026-08-25,10.0,90.0,0.206,0.233,0.311,0.6,41.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
110,2026-08-25,10.0,91.0,0.182,0.289,0.342,0.66,32.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
111,2026-08-25,10.0,92.0,0.242,0.066,0.251,0.49,74.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
112,2026-08-25,10.0,93.0,0.25,0.087,0.265,0.52,70.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
113,2026-08-25,10.0,94.0,0.178,0.03,0.181,0.35,80.4,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
114,2026-08-25,11.0,68.0,-0.155,-0.37,0.401,0.78,202.7,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
115,2026-08-25,11.0,69.0,-0.202,-0.061,0.211,0.41,253.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
116,2026-08-25,11.0,70.0,-0.035,-0.196,0.199,0.39,190.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
117,2026-08-25,11.0,71.0,-0.194,-0.258,0.323,0.63,216.9,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
118,2026-08-25,11.0,72.0,-0.225,-0.282,0.361,0.7,218.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
119,2026-08-25,11.0,73.0,0.014,-0.094,0.095,0.18,171.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
120,2026-08-25,11.0,85.0,0.174,0.012,0.174,0.34,86.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
121,2026-08-25,11.0,86.0,0.128,0.179,0.22,0.43,35.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
122,2026-08-25,11.0,87.0,0.097,0.166,0.192,0.37,30.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
123,2026-08-25,11.0,88.0,0.074,0.18,0.195,0.38,22.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
124,2026-08-25,11.0,89.0,0.104,0.202,0.227,0.44,27.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
125,2026-08-25,11.0,90.0,0.155,-0.015,0.156,0.3,95.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
126,2026-08-25,11.0,91.0,0.113,0.052,0.124,0.24,65.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
127,2026-08-25,11.0,92.0,0.297,-0.025,0.298,0.58,94.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
128,2026-08-25,11.0,93.0,0.022,0.094,0.097,0.19,13.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
129,2026-08-25,11.0,94.0,0.186,0.03,0.188,0.37,80.8,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
130,2026-08-25,12.0,68.0,-0.219,-0.218,0.309,0.6,225.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
131,2026-08-25,12.0,69.0,-0.131,-0.279,0.308,0.6,205.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
132,2026-08-25,12.0,70.0,-0.081,-0.334,0.344,0.67,193.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
133,2026-08-25,12.0,71.0,-0.184,-0.417,0.456,0.89,203.8,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
134,2026-08-25,12.0,72.0,-0.141,-0.249,0.286,0.56,209.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
135,2026-08-25,12.0,73.0,-0.156,-0.216,0.266,0.52,215.8,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
136,2026-08-25,12.0,85.0,0.19,0.059,0.199,0.39,72.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
137,2026-08-25,12.0,86.0,0.17,0.1,0.197,0.38,59.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
138,2026-08-25,12.0,87.0,0.079,0.021,0.082,0.16,75.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
139,2026-08-25,12.0,88.0,0.295,0.092,0.309,0.6,72.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
140,2026-08-25,12.0,89.0,0.128,0.26,0.29,0.56,26.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
141,2026-08-25,12.0,90.0,0.214,-0.054,0.221,0.43,104.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
142,2026-08-25,12.0,91.0,0.259,0.371,0.452,0.88,34.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
143,2026-08-25,12.0,92.0,0.162,0.258,0.305,0.59,32.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
144,2026-08-25,12.0,93.0,0.159,0.086,0.181,0.35,61.6,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
145,2026-08-25,12.0,94.0,0.226,0.13,0.261,0.51,60.1,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
146,2026-08-25,13.0,68.0,0.054,-0.42,0.423,0.82,172.7,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
147,2026-08-25,13.0,69.0,-0.292,-0.281,0.405,0.79,226.1,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
148,2026-08-25,13.0,70.0,-0.165,-0.301,0.343,0.67,208.7,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
149,2026-08-25,13.0,71.0,-0.297,-0.323,0.439,0.85,222.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
150,2026-08-25,13.0,72.0,-0.324,-0.095,0.338,0.66,253.7,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
151,2026-08-25,13.0,73.0,-0.084,-0.296,0.308,0.6,195.8,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
152,2026-08-25,13.0,85.0,0.357,0.325,0.483,0.94,47.7,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
