weather_id,harbor_id,landing_center_name,sector,latitude,longitude,datetime_utc,air_temp_celsius,humidity_pct,precipitation_mm,weather_code,weather_condition,wind_speed_mps,wind_speed_kmph,wind_direction_deg,wind_gust_mps,surface_pressure_hpa,visibility_km,cloud_cover_pct,venturing_safety_index,source
21,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 20:00:00,28.6,83.6,0.0,1,Mainly clear,2.1,7.6,280,3.2,1007.8,8.8,37.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
22,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 21:00:00,27.5,85.7,0.0,1,Mainly clear,3.2,11.5,243,4.2,1009.2,8.8,47.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
23,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 22:00:00,26.6,89.6,0.0,1,Mainly clear,5.9,21.2,272,8.2,1009.2,8.6,33.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
24,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 23:00:00,26.8,94.7,0.0,0,Clear sky,3.1,11.2,247,4.3,1010.0,8.4,18.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
25,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 00:00:00,26.2,94.6,0.0,1,Mainly clear,7.1,25.6,260,10.5,1010.3,7.8,21.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
26,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 01:00:00,25.3,95.1,0.0,0,Clear sky,5.8,20.9,281,7.6,1010.0,8.2,18.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
27,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 02:00:00,25.3,91.6,0.0,0,Clear sky,6.0,21.6,263,8.1,1009.4,8.5,14.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
28,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 03:00:00,25.4,94.5,0.0,1,Mainly clear,2.4,8.6,272,3.8,1009.1,8.7,24.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
29,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 04:00:00,25.5,91.0,0.0,1,Mainly clear,5.4,19.4,281,8.4,1008.7,10.3,20.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
30,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 05:00:00,26.7,93.2,0.0,0,Clear sky,5.7,20.5,252,8.9,1008.5,8.2,11.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
31,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 06:00:00,26.9,88.5,0.0,0,Clear sky,1.1,4.0,265,1.5,1009.0,9.0,19.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
32,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 07:00:00,27.8,83.1,0.0,1,Mainly clear,5.7,20.5,239,8.5,1007.7,8.4,29.7,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
33,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 08:00:00,29.3,83.3,0.0,1,Mainly clear,4.8,17.3,249,7.4,1007.5,8.6,27.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
34,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 09:00:00,29.4,80.5,0.0,2,Partly cloudy,3.9,14.0,248,5.3,1008.5,9.0,58.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
35,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 10:00:00,29.4,77.5,0.0,2,Partly cloudy,6.4,23.0,247,9.1,1010.7,8.5,58.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
36,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 11:00:00,30.6,74.6,0.0,1,Mainly clear,4.4,15.8,259,6.4,1009.6,8.4,48.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
37,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 12:00:00,31.5,68.2,0.0,2,Partly cloudy,8.7,31.3,266,12.3,1010.0,9.3,66.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
38,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 13:00:00,30.8,70.8,0.0,2,Partly cloudy,7.4,26.6,264,9.7,1010.2,9.5,57.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
39,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 14:00:00,31.9,66.9,0.0,2,Partly cloudy,5.0,18.0,254,7.9,1010.7,9.0,60.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
40,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 15:00:00,31.1,68.8,0.0,2,Partly cloudy,10.0,36.0,270,13.4,1008.8,9.4,65.6,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
41,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 16:00:00,31.2,72.3,0.0,2,Partly cloudy,7.5,27.0,275,11.4,1008.0,9.2,54.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
42,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 17:00:00,31.0,71.9,4.9,63,Moderate rain,8.1,29.2,256,12.6,1008.3,1.5,75.0,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
43,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 18:00:00,30.0,75.7,0.0,2,Partly cloudy,7.6,27.4,254,11.9,1008.3,8.8,55.7,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
44,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 19:00:00,28.9,82.6,0.0,1,Mainly clear,5.3,19.1,269,7.4,1008.6,9.1,36.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
45,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 20:00:00,28.7,80.6,0.4,61,Slight rain,1.0,3.6,253,1.6,1008.5,8.9,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
46,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 21:00:00,27.9,84.1,0.0,1,Mainly clear,4.9,17.6,270,6.5,1008.7,8.8,24.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
47,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 22:00:00,26.5,85.5,0.0,1,Mainly clear,4.1,14.8,263,6.3,1009.3,8.5,32.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
48,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 23:00:00,26.5,88.9,0.0,1,Mainly clear,4.0,14.4,241,5.3,1010.1,8.0,22.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
49,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 00:00:00,26.3,96.0,0.0,0,Clear sky,5.2,18.7,278,7.2,1010.2,8.2,17.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
50,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 01:00:00,25.8,92.6,0.0,1,Mainly clear,5.4,19.4,270,8.0,1010.1,7.9,34.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
51,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 02:00:00,26.0,95.0,0.0,0,Clear sky,3.0,10.8,244,4.1,1010.8,7.9,10.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
52,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 03:00:00,25.5,94.5,0.0,0,Clear sky,7.9,28.4,276,11.0,1009.2,8.5,10.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
53,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 04:00:00,25.5,96.6,0.0,0,Clear sky,3.7,13.3,243,5.9,1009.1,8.8,10.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
54,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 05:00:00,26.4,93.4,0.0,0,Clear sky,3.4,12.2,278,4.5,1007.2,8.3,19.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
55,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 06:00:00,26.9,89.5,0.0,1,Mainly clear,4.2,15.1,265,6.7,1007.3,7.9,30.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
56,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 07:00:00,27.1,87.8,0.0,1,Mainly clear,3.2,11.5,274,4.7,1008.2,8.5,41.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
57,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 08:00:00,29.3,85.5,0.0,1,Mainly clear,6.2,22.3,236,8.3,1008.3,9.3,41.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
58,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 09:00:00,28.8,80.1,0.0,1,Mainly clear,1.3,4.7,257,1.8,1009.6,9.2,38.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
59,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 10:00:00,30.5,75.8,0.0,1,Mainly clear,2.0,7.2,282,3.1,1010.5,8.9,29.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
60,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 11:00:00,30.6,73.0,0.0,2,Partly cloudy,4.3,15.5,247,6.4,1009.1,8.6,54.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
61,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 12:00:00,30.7,69.0,0.0,1,Mainly clear,10.2,36.7,244,15.3,1010.2,8.8,49.1,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
62,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 13:00:00,31.1,67.8,0.0,1,Mainly clear,6.3,22.7,270,9.1,1009.8,9.4,49.6,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
63,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 14:00:00,31.2,69.0,0.0,2,Partly cloudy,9.9,35.6,245,13.4,1010.0,8.1,54.6,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
64,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 15:00:00,30.6,72.6,0.0,2,Partly cloudy,8.1,29.2,248,10.6,1009.9,9.3,62.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
65,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 16:00:00,32.1,73.3,0.0,1,Mainly clear,6.8,24.5,247,9.9,1008.4,8.4,46.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
66,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 17:00:00,30.2,70.9,0.0,2,Partly cloudy,10.1,36.4,260,15.5,1008.9,8.7,51.6,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
67,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 18:00:00,30.5,76.8,0.0,2,Partly cloudy,8.2,29.5,253,11.4,1007.3,9.9,55.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
68,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 19:00:00,28.6,79.9,0.7,61,Slight rain,7.6,27.4,249,10.3,1007.7,6.3,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
69,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 20:00:00,28.7,82.8,0.0,1,Mainly clear,4.9,17.6,244,6.7,1008.4,9.0,37.7,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
70,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 21:00:00,27.8,89.3,0.0,1,Mainly clear,6.2,22.3,251,8.4,1009.9,8.6,21.6,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
71,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 22:00:00,26.0,87.4,0.0,1,Mainly clear,1.8,6.5,243,2.7,1009.5,9.9,31.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
72,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 23:00:00,25.8,90.6,0.0,1,Mainly clear,3.4,12.2,273,5.1,1009.9,8.0,26.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
73,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 00:00:00,27.0,89.4,0.0,0,Clear sky,4.8,17.3,238,6.5,1009.7,8.7,16.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
74,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 01:00:00,26.4,93.9,0.0,0,Clear sky,3.4,12.2,243,4.6,1010.2,8.5,19.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
75,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 02:00:00,26.1,90.2,0.0,1,Mainly clear,4.0,14.4,257,6.2,1009.8,8.1,22.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
76,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 03:00:00,24.9,96.3,0.0,0,Clear sky,1.7,6.1,254,2.7,1008.6,8.6,13.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
77,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 04:00:00,26.1,91.1,0.0,1,Mainly clear,4.8,17.3,242,6.7,1008.6,8.6,21.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
78,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 05:00:00,27.0,92.8,0.0,1,Mainly clear,3.6,13.0,247,5.0,1008.1,9.0,23.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
79,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 06:00:00,27.2,87.6,0.0,0,Clear sky,6.8,24.5,246,9.1,1008.3,9.0,19.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
80,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 07:00:00,28.1,88.0,0.0,1,Mainly clear,1.6,5.8,244,2.2,1008.5,8.6,32.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
81,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 08:00:00,28.8,80.2,0.0,2,Partly cloudy,4.8,17.3,236,7.1,1007.3,9.7,61.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
82,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 09:00:00,29.4,79.2,0.0,1,Mainly clear,5.0,18.0,256,7.4,1009.3,8.9,29.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
83,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 10:00:00,29.9,75.5,0.0,2,Partly cloudy,9.1,32.8,238,12.9,1010.1,9.5,51.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
84,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 11:00:00,30.2,74.8,0.0,2,Partly cloudy,4.1,14.8,272,5.8,1008.9,8.3,57.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
85,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 12:00:00,30.8,68.8,0.0,1,Mainly clear,8.5,30.6,281,12.1,1010.2,9.8,41.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
86,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 13:00:00,30.4,67.8,0.0,2,Partly cloudy,7.1,25.6,260,11.4,1010.4,8.9,55.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
87,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 14:00:00,31.3,67.8,0.0,2,Partly cloudy,8.3,29.9,237,11.3,1010.0,10.6,59.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
88,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 15:00:00,30.7,72.6,0.0,1,Mainly clear,4.8,17.3,243,7.0,1007.7,9.2,44.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
89,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 16:00:00,30.8,70.8,0.0,1,Mainly clear,10.0,36.0,236,14.2,1008.7,9.4,41.1,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
90,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 17:00:00,30.1,72.9,0.4,61,Slight rain,7.2,25.9,236,10.8,1008.0,8.0,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
91,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 18:00:00,29.7,76.7,0.0,2,Partly cloudy,9.8,35.3,247,13.0,1007.3,9.2,53.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
92,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 19:00:00,29.0,81.1,0.0,1,Mainly clear,9.6,34.6,280,13.3,1007.5,8.1,44.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
93,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 20:00:00,28.8,81.6,0.0,0,Clear sky,6.4,23.0,254,8.8,1008.2,9.0,19.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
94,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 21:00:00,27.2,88.8,0.0,1,Mainly clear,7.6,27.4,282,10.6,1008.0,8.6,23.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
95,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 22:00:00,27.1,90.5,1.1,61,Slight rain,4.8,17.3,236,6.9,1009.7,7.5,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
96,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 23:00:00,26.8,89.7,0.0,1,Mainly clear,2.2,7.9,236,3.0,1009.9,7.6,20.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
97,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 00:00:00,26.3,96.9,0.0,1,Mainly clear,3.7,13.3,242,4.8,1010.6,8.9,20.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
98,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 01:00:00,26.4,92.2,0.0,1,Mainly clear,4.2,15.1,261,5.9,1010.4,8.1,21.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
99,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 02:00:00,25.7,91.7,0.0,0,Clear sky,1.8,6.5,271,2.5,1010.0,8.6,10.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
100,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 03:00:00,25.1,98.0,0.0,0,Clear sky,4.7,16.9,237,6.4,1008.9,8.4,15.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
101,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 04:00:00,25.4,92.9,0.3,61,Slight rain,1.5,5.4,240,2.3,1008.1,8.2,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
102,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 05:00:00,26.5,94.5,0.0,1,Mainly clear,7.8,28.1,276,10.7,1007.7,8.7,25.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
103,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 06:00:00,27.3,85.2,0.0,1,Mainly clear,4.1,14.8,242,6.5,1007.5,8.9,23.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
104,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 07:00:00,27.8,82.6,0.0,1,Mainly clear,5.6,20.2,268,8.6,1008.2,8.9,37.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
105,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 08:00:00,28.4,78.7,0.0,1,Mainly clear,4.9,17.6,263,6.6,1008.7,9.4,24.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
106,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 09:00:00,29.2,80.1,0.0,1,Mainly clear,4.6,16.6,276,6.4,1009.1,8.6,41.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
107,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 10:00:00,29.7,75.1,0.0,1,Mainly clear,3.6,13.0,271,5.0,1009.8,8.8,44.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
108,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 11:00:00,31.0,73.5,0.0,2,Partly cloudy,1.8,6.5,266,2.8,1010.6,9.6,51.7,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
109,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 12:00:00,30.7,73.9,0.0,1,Mainly clear,7.8,28.1,284,12.2,1011.4,9.8,49.9,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
110,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 13:00:00,31.8,68.8,0.0,1,Mainly clear,8.0,28.8,249,11.3,1009.9,8.9,46.6,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
111,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 14:00:00,31.3,69.9,0.0,2,Partly cloudy,6.7,24.1,282,9.1,1010.4,9.1,67.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
