harbor_id,facility_name
53,Covered Auction Platform
53,Net Mending Area
53,Freshwater Tank
54,Ice Boxes
54,Covered Auction Platform
54,Net Mending Area
54,Freshwater Tank
55,Ice Boxes
55,Covered Auction Platform
55,Net Mending Area
55,Freshwater Tank
56,Ice Boxes
56,Covered Auction Platform
56,Net Mending Area
56,Freshwater Tank
