harbor_id,landing_center_name,sector,state,district,coastal_zone,latitude,longitude,latitude_dms,longitude_dms,harbor_type,vessel_capacity,typical_depth_min_m,typical_depth_max_m,regional_language,facilities,source
35,Nizampatnam Fishing Harbor,South Andhra Pradesh,Andhra Pradesh,Bapatla,South Andhra Coast,15.908,80.672,15° 54.5' N,80° 40.3' E,MAJOR,1500,20,65,Telugu,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
36,Machilipatnam (Gilakaladindi),South Andhra Pradesh,Andhra Pradesh,Krishna,South Andhra Coast,16.187,81.138,16° 11.2' N,81° 08.3' E,LANDING_CENTER,400,25,70,Telugu,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
37,Visakhapatnam Fishing Harbor,North Andhra Pradesh,Andhra Pradesh,Visakhapatnam,North Andhra / Kalingapatnam Coast,17.7,83.28,17° 42.0' N,83° 16.8' E,MAJOR,1500,35,125,Telugu,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
38,Kakinada Fishing Harbor,North Andhra Pradesh,Andhra Pradesh,Kakinada,North Andhra / Kalingapatnam Coast,16.944,82.251,16° 56.6' N,82° 15.1' E,MAJOR,1500,25,80,Telugu,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
39,Bhavanapadu Fishing Harbor,North Andhra Pradesh,Andhra Pradesh,Srikakulam,North Andhra / Kalingapatnam Coast,18.572,84.351,18° 34.3' N,84° 21.1' E,MAJOR,1500,30,90,Telugu,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
40,Pudimadaka Fish Landing Center,North Andhra Pradesh,Andhra Pradesh,Anakapalli,North Andhra / Kalingapatnam Coast,17.498,83.003,17° 29.9' N,83° 00.2' E,LANDING_CENTER,400,30,85,Telugu,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
41,Paradip Fishing Harbor,Odisha,Odisha,Jagatsinghpur,Utkal Coast,20.316,86.612,20° 19.0' N,86° 36.7' E,MAJOR,1500,30,90,Odia,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
42,Dhamra Fishing Harbor,Odisha,Odisha,Bhadrak,Utkal Coast,20.759,86.949,20° 45.5' N,86° 56.9' E,MAJOR,1500,25,75,Odia,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
43,Puri Fish Landing Center,Odisha,Odisha,Puri,Utkal Coast,19.798,85.831,19° 47.9' N,85° 49.9' E,LANDING_CENTER,400,20,60,Odia,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
44,Gopalpur Fish Landing Center,Odisha,Odisha,Ganjam,Utkal Coast,19.26,84.91,19° 15.6' N,84° 54.6' E,LANDING_CENTER,400,30,85,Odia,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
45,Digha (Sankarpur) Fishing Harbor,West Bengal,West Bengal,Purba Medinipur,Sundarbans / Ganga Delta,21.628,87.548,21° 37.7' N,87° 32.9' E,MAJOR,1500,20,65,Bengali,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
46,Kakdwip Fish Harbor,West Bengal,West Bengal,South 24 Parganas,Sundarbans / Ganga Delta,21.876,88.188,21° 52.6' N,88° 11.3' E,MAJOR,1500,15,50,Bengali,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
47,Sultanpur Fish Landing Center,West Bengal,West Bengal,South 24 Parganas,Sundarbans / Ganga Delta,22.091,88.204,22° 05.5' N,88° 12.2' E,LANDING_CENTER,400,15,45,Bengali,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
48,Fraserganj Harbor,West Bengal,West Bengal,South 24 Parganas,Sundarbans / Ganga Delta,21.583,88.25,21° 35.0' N,88° 15.0' E,MAJOR,1500,20,55,Bengali,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
49,Kavaratti Jetty,Lakshadweep Islands,Lakshadweep,Lakshadweep,Arabian Sea Atolls,10.566,72.641,10° 34.0' N,72° 38.5' E,LANDING_CENTER,400,50,250,Malayalam/Mahl,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
50,Agatti Fish Landing Center,Lakshadweep Islands,Lakshadweep,Lakshadweep,Arabian Sea Atolls,10.853,72.193,10° 51.2' N,72° 11.6' E,LANDING_CENTER,400,60,300,Malayalam/Mahl,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
51,Minicoy Fishery Jetty,Lakshadweep Islands,Lakshadweep,Lakshadweep,Arabian Sea Atolls,8.283,73.048,08° 17.0' N,73° 02.9' E,LANDING_CENTER,400,80,400,Malayalam/Mahl,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
52,Junglighat Fishing Jetty (Port Blair),Andaman Islands,Andaman & Nicobar,South Andaman,Bay of Bengal / Andaman Sea,11.662,92.726,11° 39.7' N,92° 43.6' E,MAJOR,1500,45,180,Hindi/Bengali/Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
53,Diglipur Fishery Jetty,Andaman Islands,Andaman & Nicobar,North & Middle Andaman,Bay of Bengal / Andaman Sea,13.267,92.983,13° 16.0' N,92° 59.0' E,LANDING_CENTER,400,40,160,Hindi/Bengali/Tamil,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
54,Havelock Island (Swaraj Dweep) Jetty,Andaman Islands,Andaman & Nicobar,South Andaman,Bay of Bengal / Andaman Sea,11.983,92.983,11° 59.0' N,92° 59.0' E,LANDING_CENTER,400,50,200,Hindi/Bengali/Tamil,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
55,Car Nicobar Fishery Center,Nicobar Islands,Andaman & Nicobar,Nicobar,South Andaman Sea,9.175,92.812,09° 10.5' N,92° 48.7' E,LANDING_CENTER,400,60,250,Nicobarese/Hindi,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
56,Campbell Bay Jetty,Nicobar Islands,Andaman & Nicobar,Great Nicobar,South Andaman Sea,7.005,93.928,07° 00.3' N,93° 55.7' E,LANDING_CENTER,400,80,350,Nicobarese/Hindi,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
