catch_id,year,quarter,state,species_group,scientific_name,ecological_category,catch_volume_tonnes,fishing_fleet_segment,monsoon_ban_impact,source,species_id
11,2018,Q1,Gujarat,Penaeid Prawns,Penaeus monodon / indicus,Demersal,3454.2,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
12,2018,Q1,Gujarat,Penaeid Prawns,Penaeus monodon / indicus,Demersal,967.2,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
13,2018,Q1,Gujarat,Non-penaeid Prawns,Acetes indicus,Demersal,11839.2,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
14,2018,Q1,Gujarat,Non-penaeid Prawns,Acetes indicus,Demersal,4352.6,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
15,2018,Q1,Gujarat,Non-penaeid Prawns,Acetes indicus,Demersal,1218.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
16,2018,Q1,Gujarat,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,7671.3,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
17,2018,Q1,Gujarat,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,2820.3,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
18,2018,Q1,Gujarat,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,789.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
19,2018,Q1,Gujarat,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,987.4,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
20,2018,Q1,Gujarat,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,363.0,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
21,2018,Q1,Gujarat,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,101.6,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
22,2018,Q1,Gujarat,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,6417.0,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
23,2018,Q1,Gujarat,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,2359.2,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
24,2018,Q1,Gujarat,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,660.6,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
25,2018,Q1,Gujarat,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,6024.0,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
26,2018,Q1,Gujarat,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,2214.7,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
27,2018,Q1,Gujarat,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,620.1,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
28,2018,Q1,Gujarat,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,9573.4,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
29,2018,Q1,Gujarat,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,3519.7,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
30,2018,Q1,Gujarat,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,985.5,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
31,2018,Q1,Gujarat,Threadfin Breams,Nemipterus japonicus,Demersal,6150.2,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
32,2018,Q1,Gujarat,Threadfin Breams,Nemipterus japonicus,Demersal,2261.1,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
33,2018,Q1,Gujarat,Threadfin Breams,Nemipterus japonicus,Demersal,633.1,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
34,2018,Q1,Gujarat,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,796.5,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
35,2018,Q1,Gujarat,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,292.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
36,2018,Q1,Gujarat,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,82.0,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
37,2018,Q1,Gujarat,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,3902.2,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
38,2018,Q1,Gujarat,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,1434.7,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
39,2018,Q1,Gujarat,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,401.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
40,2018,Q1,Gujarat,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,10597.3,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
41,2018,Q1,Gujarat,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,3896.1,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
42,2018,Q1,Gujarat,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,1090.9,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
43,2018,Q1,Maharashtra,Oil Sardine,Sardinella longiceps,Pelagic,2701.6,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
44,2018,Q1,Maharashtra,Oil Sardine,Sardinella longiceps,Pelagic,993.2,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
45,2018,Q1,Maharashtra,Oil Sardine,Sardinella longiceps,Pelagic,278.1,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
46,2018,Q1,Maharashtra,Indian Mackerel,Rastrelliger kanagurta,Pelagic,9848.2,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
47,2018,Q1,Maharashtra,Indian Mackerel,Rastrelliger kanagurta,Pelagic,3620.7,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
48,2018,Q1,Maharashtra,Indian Mackerel,Rastrelliger kanagurta,Pelagic,1013.8,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
49,2018,Q1,Maharashtra,Ribbonfishes,Trichiurus lepturus,Pelagic,7991.5,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
50,2018,Q1,Maharashtra,Ribbonfishes,Trichiurus lepturus,Pelagic,2938.1,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
51,2018,Q1,Maharashtra,Ribbonfishes,Trichiurus lepturus,Pelagic,822.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
52,2018,Q1,Maharashtra,Penaeid Prawns,Penaeus monodon / indicus,Demersal,13047.4,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
53,2018,Q1,Maharashtra,Penaeid Prawns,Penaeus monodon / indicus,Demersal,4796.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
54,2018,Q1,Maharashtra,Penaeid Prawns,Penaeus monodon / indicus,Demersal,1343.1,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
55,2018,Q1,Maharashtra,Non-penaeid Prawns,Acetes indicus,Demersal,13618.0,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
56,2018,Q1,Maharashtra,Non-penaeid Prawns,Acetes indicus,Demersal,5006.6,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
57,2018,Q1,Maharashtra,Non-penaeid Prawns,Acetes indicus,Demersal,1401.9,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
58,2018,Q1,Maharashtra,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,7293.3,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
59,2018,Q1,Maharashtra,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,2681.4,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
60,2018,Q1,Maharashtra,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,750.8,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
61,2018,Q1,Maharashtra,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,956.8,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
62,2018,Q1,Maharashtra,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,351.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
63,2018,Q1,Maharashtra,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,98.5,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
64,2018,Q1,Maharashtra,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,1130.1,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
65,2018,Q1,Maharashtra,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,415.5,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
66,2018,Q1,Maharashtra,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,116.3,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
67,2018,Q1,Maharashtra,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,7116.1,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
68,2018,Q1,Maharashtra,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,2616.2,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
69,2018,Q1,Maharashtra,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,732.5,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
70,2018,Q1,Maharashtra,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,14871.1,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
71,2018,Q1,Maharashtra,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,5467.3,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
72,2018,Q1,Maharashtra,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,1530.9,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
73,2018,Q1,Maharashtra,Threadfin Breams,Nemipterus japonicus,Demersal,1045.0,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
74,2018,Q1,Maharashtra,Threadfin Breams,Nemipterus japonicus,Demersal,384.2,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
75,2018,Q1,Maharashtra,Threadfin Breams,Nemipterus japonicus,Demersal,107.6,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
76,2018,Q1,Maharashtra,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,809.8,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
77,2018,Q1,Maharashtra,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,297.7,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
78,2018,Q1,Maharashtra,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,83.4,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
79,2018,Q1,Maharashtra,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,636.6,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
80,2018,Q1,Maharashtra,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,234.1,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
81,2018,Q1,Maharashtra,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,65.5,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
82,2018,Q1,Maharashtra,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,1622.1,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
83,2018,Q1,Maharashtra,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,596.4,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
84,2018,Q1,Maharashtra,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,167.0,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
85,2018,Q1,Goa,Oil Sardine,Sardinella longiceps,Pelagic,13861.9,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
86,2018,Q1,Goa,Oil Sardine,Sardinella longiceps,Pelagic,5096.3,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
87,2018,Q1,Goa,Oil Sardine,Sardinella longiceps,Pelagic,1427.0,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
88,2018,Q1,Goa,Indian Mackerel,Rastrelliger kanagurta,Pelagic,12323.7,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
89,2018,Q1,Goa,Indian Mackerel,Rastrelliger kanagurta,Pelagic,4530.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
90,2018,Q1,Goa,Indian Mackerel,Rastrelliger kanagurta,Pelagic,1268.6,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
91,2018,Q1,Goa,Ribbonfishes,Trichiurus lepturus,Pelagic,1564.0,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
92,2018,Q1,Goa,Ribbonfishes,Trichiurus lepturus,Pelagic,575.0,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
93,2018,Q1,Goa,Ribbonfishes,Trichiurus lepturus,Pelagic,161.0,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
94,2018,Q1,Goa,Penaeid Prawns,Penaeus monodon / indicus,Demersal,1647.6,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
95,2018,Q1,Goa,Penaeid Prawns,Penaeus monodon / indicus,Demersal,605.7,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
96,2018,Q1,Goa,Penaeid Prawns,Penaeus monodon / indicus,Demersal,169.6,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
97,2018,Q1,Goa,Non-penaeid Prawns,Acetes indicus,Demersal,2232.8,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
98,2018,Q1,Goa,Non-penaeid Prawns,Acetes indicus,Demersal,820.9,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
99,2018,Q1,Goa,Non-penaeid Prawns,Acetes indicus,Demersal,229.9,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,5
100,2018,Q1,Goa,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,1090.2,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
101,2018,Q1,Goa,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,400.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
102,2018,Q1,Goa,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,Molluscan,112.2,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,6
103,2018,Q1,Goa,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,1073.9,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
104,2018,Q1,Goa,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,394.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
105,2018,Q1,Goa,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,Pelagic,110.5,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,7
106,2018,Q1,Goa,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,906.6,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
107,2018,Q1,Goa,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,333.3,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
108,2018,Q1,Goa,Seer Fishes (King Mackerel),Scomberomorus commerson,Pelagic,93.3,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,8
109,2018,Q1,Goa,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,903.3,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
110,2018,Q1,Goa,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,332.1,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
111,2018,Q1,Goa,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,Pelagic,93.0,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,9
112,2018,Q1,Goa,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,1590.2,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
113,2018,Q1,Goa,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,584.6,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
114,2018,Q1,Goa,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,Demersal,163.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,10
115,2018,Q1,Goa,Threadfin Breams,Nemipterus japonicus,Demersal,1151.1,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
116,2018,Q1,Goa,Threadfin Breams,Nemipterus japonicus,Demersal,423.2,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
117,2018,Q1,Goa,Threadfin Breams,Nemipterus japonicus,Demersal,118.5,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,11
118,2018,Q1,Goa,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,841.6,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
119,2018,Q1,Goa,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,309.4,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
120,2018,Q1,Goa,Anchovies (Stolephorus),Stolephorus commersonnii,Pelagic,86.6,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,12
121,2018,Q1,Goa,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,570.5,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
122,2018,Q1,Goa,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,209.8,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
123,2018,Q1,Goa,Crabs (Portunids),Portunus pelagicus / sanguinolentus,Crustacean,58.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,13
124,2018,Q1,Goa,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,1227.5,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
125,2018,Q1,Goa,Hilsa Shad,Tenualosa ilisha,Pelagic / Anadromous,451.3,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,14
