sst_id,harbor_id,landing_center_name,sector,latitude,longitude,datetime_utc,sst_celsius,sst_anomaly_celsius,thermal_front_gradient_c_km,source
13,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 12:00:00,29.08,1.61,0.19,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
14,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 13:00:00,28.91,1.44,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
15,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 14:00:00,28.91,1.44,0.34,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
16,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 15:00:00,29.03,1.56,0.18,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
17,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 16:00:00,28.9,1.43,0.37,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
18,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 17:00:00,28.9,1.43,0.28,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
19,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 18:00:00,28.86,1.39,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
20,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 19:00:00,28.6,1.13,0.45,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
21,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 20:00:00,28.76,1.29,0.23,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
22,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 21:00:00,28.33,0.86,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
23,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 22:00:00,28.18,0.71,0.47,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
24,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 23:00:00,28.29,0.82,0.4,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
25,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 00:00:00,28.27,0.8,0.15,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
26,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 01:00:00,28.1,0.63,0.19,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
27,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 02:00:00,28.01,0.54,0.26,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
28,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 03:00:00,27.96,0.49,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
29,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 04:00:00,27.96,0.49,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
30,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 05:00:00,28.24,0.77,0.32,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
31,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 06:00:00,28.2,0.73,0.15,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
32,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 07:00:00,28.2,0.73,0.48,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
33,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 08:00:00,28.28,0.81,0.12,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
34,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 09:00:00,28.6,1.13,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
35,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 10:00:00,28.79,1.32,0.4,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
36,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 11:00:00,28.9,1.43,0.15,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
37,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 12:00:00,28.74,1.27,0.43,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
38,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 13:00:00,28.9,1.43,0.34,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
39,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 14:00:00,28.92,1.45,0.23,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
40,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 15:00:00,28.98,1.51,0.24,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
41,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 16:00:00,29.11,1.64,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
42,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 17:00:00,29.15,1.68,0.29,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
43,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 18:00:00,28.92,1.45,0.39,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
44,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 19:00:00,28.66,1.19,0.32,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
45,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 20:00:00,28.63,1.16,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
46,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 21:00:00,28.74,1.27,0.27,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
47,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 22:00:00,28.39,0.92,0.23,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
48,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-28 23:00:00,28.21,0.74,0.3,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
49,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 00:00:00,28.12,0.65,0.27,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
50,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 01:00:00,28.13,0.66,0.39,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
51,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 02:00:00,27.91,0.44,0.45,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
52,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 03:00:00,27.93,0.46,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
53,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 04:00:00,28.16,0.69,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
54,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 05:00:00,28.13,0.66,0.19,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
55,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 06:00:00,28.17,0.7,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
56,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 07:00:00,28.4,0.93,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
57,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 08:00:00,28.27,0.8,0.2,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
58,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 09:00:00,28.46,0.99,0.27,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
59,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 10:00:00,28.68,1.21,0.12,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
60,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 11:00:00,28.8,1.33,0.3,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
61,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 12:00:00,28.65,1.18,0.16,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
62,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 13:00:00,28.88,1.41,0.24,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
63,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 14:00:00,28.97,1.5,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
64,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 15:00:00,29.07,1.6,0.37,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
65,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 16:00:00,29.03,1.56,0.47,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
66,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 17:00:00,28.93,1.46,0.21,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
67,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 18:00:00,28.58,1.11,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
68,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 19:00:00,28.76,1.29,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
69,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 20:00:00,28.65,1.18,0.14,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
70,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 21:00:00,28.88,1.41,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
71,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 22:00:00,28.35,0.88,0.17,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
72,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-29 23:00:00,28.3,0.83,0.3,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
73,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 00:00:00,28.33,0.86,0.21,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
74,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 01:00:00,28.19,0.72,0.38,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
75,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 02:00:00,28.24,0.77,0.35,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
76,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 03:00:00,27.8,0.33,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
77,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 04:00:00,27.88,0.41,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
78,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 05:00:00,27.99,0.52,0.33,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
79,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 06:00:00,27.92,0.45,0.35,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
80,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 07:00:00,28.27,0.8,0.18,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
81,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 08:00:00,28.24,0.77,0.46,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
82,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 09:00:00,28.74,1.27,0.17,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
83,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 10:00:00,28.52,1.05,0.45,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
84,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 11:00:00,28.71,1.24,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
85,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 12:00:00,28.99,1.52,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
86,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 13:00:00,28.76,1.29,0.32,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
87,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 14:00:00,28.75,1.28,0.15,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
88,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 15:00:00,29.04,1.57,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
89,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 16:00:00,29.03,1.56,0.24,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
90,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 17:00:00,29.06,1.59,0.25,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
91,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 18:00:00,28.94,1.47,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
92,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 19:00:00,28.8,1.33,0.4,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
93,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 20:00:00,28.54,1.07,0.18,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
94,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 21:00:00,28.54,1.07,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
95,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 22:00:00,28.42,0.95,0.12,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
96,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-30 23:00:00,28.15,0.68,0.18,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
97,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 00:00:00,28.44,0.97,0.35,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
98,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 01:00:00,28.15,0.68,0.2,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
99,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 02:00:00,27.88,0.41,0.24,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
100,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 03:00:00,28.13,0.66,0.39,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
101,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 04:00:00,28.17,0.7,0.36,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
102,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 05:00:00,28.14,0.67,0.32,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
103,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 06:00:00,28.12,0.65,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
104,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 07:00:00,28.15,0.68,0.21,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
105,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 08:00:00,28.37,0.9,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
106,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 09:00:00,28.56,1.09,0.35,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
107,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 10:00:00,28.64,1.17,0.33,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
108,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 11:00:00,28.98,1.51,0.3,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
109,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 12:00:00,28.96,1.49,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
110,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 13:00:00,28.81,1.34,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
111,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 14:00:00,28.83,1.36,0.46,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
112,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 15:00:00,29.08,1.61,0.46,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
113,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 16:00:00,28.96,1.49,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
114,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 17:00:00,29.05,1.58,0.45,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
115,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 18:00:00,28.93,1.46,0.47,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
116,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 19:00:00,28.75,1.28,0.43,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
117,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 20:00:00,28.51,1.04,0.43,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
118,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 21:00:00,28.28,0.81,0.23,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
119,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 22:00:00,28.41,0.94,0.46,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
120,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-31 23:00:00,28.07,0.6,0.37,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
121,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 00:00:00,28.02,0.55,0.34,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
122,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 01:00:00,28.1,0.63,0.48,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
123,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 02:00:00,28.04,0.57,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
124,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 03:00:00,27.84,0.37,0.39,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
125,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 04:00:00,28.19,0.72,0.25,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
126,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 05:00:00,28.23,0.76,0.23,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
127,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 06:00:00,28.23,0.76,0.43,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
128,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 07:00:00,28.34,0.87,0.45,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
129,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 08:00:00,28.46,0.99,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
130,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 09:00:00,29.09,1.62,0.35,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
131,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 10:00:00,28.78,1.31,0.44,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
132,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 11:00:00,28.86,1.39,0.24,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
133,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 12:00:00,28.75,1.28,0.33,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
134,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 13:00:00,28.91,1.44,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
135,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 14:00:00,29.34,1.87,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
136,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 15:00:00,28.73,1.26,0.33,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
137,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 16:00:00,28.92,1.45,0.17,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
138,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 17:00:00,29.11,1.64,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
139,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 18:00:00,28.76,1.29,0.34,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
140,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 19:00:00,28.86,1.39,0.15,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
141,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 20:00:00,28.65,1.18,0.31,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
142,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 21:00:00,28.41,0.94,0.35,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
143,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 22:00:00,28.08,0.61,0.41,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
144,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-01 23:00:00,28.29,0.82,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
145,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 00:00:00,28.04,0.57,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
146,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 01:00:00,28.06,0.59,0.47,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
147,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 02:00:00,28.1,0.63,0.27,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
148,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 03:00:00,28.14,0.67,0.18,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
149,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 04:00:00,27.96,0.49,0.32,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
150,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 05:00:00,27.98,0.51,0.38,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
151,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 06:00:00,27.97,0.5,0.46,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
152,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 07:00:00,28.4,0.93,0.39,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
153,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 08:00:00,28.7,1.23,0.27,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
154,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 09:00:00,28.66,1.19,0.21,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
155,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-08-02 10:00:00,28.83,1.36,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
